Продукт,Калорийность,Белки,Жиры,Углеводы
"Абрикос, семя костянки",520 кКал,25 г,"45,4 г","2,8 г"
"Арбуз, ядра семян, сушеные",557 кКал,"28,33 г","47,37 г","15,31 г"
Бразильский орех,659 кКал,"14,32 г","67,1 г","4,24 г"
"Буковый орешек, сушеный",576 кКал,"6,2 г",50 г,"33,5 г"
"Вишня, семя костянки",362 кКал,"21,9 г","30,5 г",0 г
"Горчица, семя",474 кКал,"25,8 г","30,8 г","23,4 г"
Горчичный порошок,378 кКал,"37,1 г","11,1 г","32,6 г"
Грецкий орех,654 кКал,"15,23 г","65,21 г","7,01 г"
Грецкий орех,656 кКал,"16,2 г","60,8 г","11,1 г"
"Грецкий орех черный, сушеный",619 кКал,"24,06 г","59,33 г","2,78 г"
"Грецкий орех, глазированный",500 кКал,"8,28 г","35,71 г","43,99 г"
"Грецкий орех, сухая обжарка, с солью",643 кКал,"14,29 г","60,71 г","10,76 г"
Желудевая мука,501 кКал,"7,49 г","30,17 г","54,65 г"
Желуди сушеные,509 кКал,"8,1 г","31,41 г","53,66 г"
Желуди сырые,387 кКал,"6,15 г","23,86 г","40,75 г"
Какао тертое,559 кКал,"13,5 г","49,4 г","13,6 г"
Какао-бобы,530 кКал,"12,8 г","53,2 г","9,4 г"
Каштан европейский вареный и тушеный,131 кКал,2 г,"1,38 г","27,76 г"
"Каштан европейский не чищеный, сушеный",374 кКал,"6,39 г","4,45 г","65,61 г"
"Каштан европейский не чищеный, сырой",213 кКал,"2,42 г","2,26 г","37,44 г"
"Каштан европейский чищеный, сушеный",369 кКал,"5,01 г","3,91 г","78,43 г"
"Каштан европейский чищеный, сырой",196 кКал,"1,63 г","1,25 г","44,17 г"
"Каштан европейский, запечённый",245 кКал,"3,17 г","2,2 г","47,86 г"
"Каштан китайский, вареный и тушеный",153 кКал,"2,88 г","0,76 г","33,64 г"
"Каштан китайский, запечённый",239 кКал,"4,48 г","1,19 г","52,36 г"
"Каштан китайский, сушеный",363 кКал,"6,82 г","1,81 г","79,76 г"
"Каштан китайский, сырой",224 кКал,"4,2 г","1,11 г","49,07 г"
Каштан японский,154 кКал,"2,25 г","0,53 г","34,91 г"
"Каштан японский, запечённый",201 кКал,"2,97 г","0,8 г","45,13 г"
"Каштан японский, приготовленный на пару",56 кКал,"0,82 г","0,19 г","12,64 г"
"Каштан японский, сушеный",360 кКал,"5,25 г","1,24 г","81,43 г"
"Кедровый орех пиния, сушеный",629 кКал,"11,57 г","60,98 г","8,6 г"
"Кедровый орех, поджаренный, (Навахо)",541 кКал,"7,41 г","34,08 г","7,66 г"
"Кедровый орех, сушеный",673 кКал,"13,69 г","68,37 г","9,38 г"
Кешью,600 кКал,"18,5 г","48,5 г","22,5 г"
"Кешью, жареный в масле без соли",580 кКал,"16,84 г","47,77 г","26,57 г"
"Кешью, жареный в масле, с солью",581 кКал,"16,84 г","47,77 г","26,86 г"
"Кешью, сухая обжарка без соли",574 кКал,"15,31 г","46,35 г","29,69 г"
"Кешью, сухая обжарка, с солью",574 кКал,"15,31 г","46,35 г","29,69 г"
"Кешью, сырой",553 кКал,"18,22 г","43,85 г","26,89 г"
"Кокос, мякоть сушеная, дробленая, подслащенная",501 кКал,"2,88 г","35,49 г","43,17 г"
"Кокос, мякоть сушеная, не подслащенная",660 кКал,"6,88 г","64,53 г","7,35 г"
"Кокос, мякоть сушеная, поджаренная",592 кКал,"5,3 г",47 г,"44,4 г"
"Кокос, мякоть, сырая",354 кКал,"3,33 г","33,49 г","6,23 г"
Кокосовая вода,19 кКал,"0,72 г","0,2 г","2,61 г"
"Кокосовая паста из свежей мякоти, подслащенная, консервированная",357 кКал,"1,17 г","16,31 г","53,01 г"
"Кокосовая паста из свежей мякоти, сырая",330 кКал,"3,63 г","34,68 г","4,45 г"
Кокосовая паста-спред из высушенной мякоти,684 кКал,"5,3 г","69,08 г","21,52 г"
"Кокосовая стружка, подслащенная",456 кКал,"3,13 г","27,99 г","41,95 г"
"Кокосовая стружка, подслащенная, консервированная",443 кКал,"3,35 г","31,69 г","36,41 г"
"Кокосовое молоко (отжатое из мякоти), консервированное",197 кКал,"2,02 г","21,33 г","2,81 г"
"Кокосовое молоко (отжатое из мякоти), сырое",230 кКал,"2,29 г","23,84 г","3,34 г"
"Кокосовое молоко (полученное из отжатых мякоти и млечного сока), замороженное",202 кКал,"1,61 г","20,8 г","5,58 г"
"Конопля, семя",373 кКал,"20,1 г","32,5 г",0 г
"Конопля, семя сушеное лущёное",553 кКал,"31,56 г","48,75 г","4,67 г"
Кунжут,565 кКал,"19,4 г","48,7 г","12,2 г"
"Кунжут, поджаренный без соли",567 кКал,"16,96 г",48 г,"9,14 г"
"Кунжут, поджаренный, с солью",567 кКал,"16,96 г",48 г,"9,14 г"
"Кунжут, семена нешелушеные, обжареные",565 кКал,"16,96 г",48 г,"11,74 г"
"Кунжут, семена нешелушеные, сушеные",573 кКал,"17,73 г","49,67 г","11,65 г"
"Кунжут, сушеный",631 кКал,"20,45 г","61,21 г","0,13 г"
"Кунжут, Тахинная паста из необжаренных зерен кунжута (без химического разрушения оболочки семян)",607 кКал,"17,95 г","56,44 г","8,59 г"
"Кунжут, Тахинная паста из обжаренных и подсушеных зерен",595 кКал,17 г,"53,76 г","11,89 г"
"Кунжут, Тахинная паста из сырых и перемеленых зерен кунжута",570 кКал,"17,81 г",48 г,"16,89 г"
"Кунжут, Тахинная паста, тип зерен не определен",592 кКал,"17,4 г","53,01 г","16,8 г"
