Продукт,Калорийность,Белки,Жиры,Углеводы
"Oscar Mayer (Оскар Майер), ветчина, медовая, с добавлением воды",111 кКал,"16,7 г","3,5 г","3,1 г"
"Боквурст, (кнакер, варёно-копчёная сарделька), свинина, телятина, сырая",301 кКал,"14,03 г","25,87 г","1,95 г"
"Болонская колбаса, говядина",299 кКал,"10,91 г","26,13 г","4,29 г"
"Болонская колбаса, говядина и свинина",308 кКал,"15,2 г","24,59 г","5,49 г"
"Болонская колбаса, говядина и свинина, с низким содерж. жира, 19% жира",230 кКал,"11,5 г","19,3 г","2,6 г"
"Болонская колбаса, говядина, с низким содерж. жира, 15% жира",204 кКал,"11,8 г","14,8 г","5,2 г"
"Болонская колбаса, индейка",209 кКал,"11,42 г","16,05 г","4,18 г"
"Болонская колбаса, курица, индейка, свинина",298 кКал,"9,88 г","26,18 г","5,65 г"
"Болонская колбаса, курица, свинина",336 кКал,"10,31 г","30,61 г","4,19 г"
"Болонская колбаса, курица, свинина, говядина",272 кКал,"11,33 г","22,73 г","5,61 г"
"Болонская колбаса, свинина",247 кКал,"15,3 г","19,87 г","0,73 г"
"Болонская колбаса, свинина и индейка, легкая, 16% жира",211 кКал,"13,06 г","16,06 г","3,45 г"
"Болонская колбаса, свинина, индейка, говядина",336 кКал,"11,56 г","29,25 г","6,66 г"
"Братвурст, сарделька, из говядины и свинины",323 кКал,"14,3 г","27,8 г","2,98 г"
"Братвурст, сарделька, из говядины и свинины, копченая",297 кКал,"12,2 г","26,34 г",2 г
"Братвурст, сарделька, из курицы, приготовленная",176 кКал,"19,44 г","10,35 г",0 г
"Братвурст, сарделька, из свинины, говядины и индейки, легкая, копченая (14% жира)",186 кКал,"14,45 г","13,53 г","1,62 г"
"Братвурст, сарделька, из свинины, приготовленная",333 кКал,"13,72 г","29,18 г","2,85 г"
"Братвурст, сарделька, из телятины, приготовленная",341 кКал,"13,99 г","31,7 г",0 г
Ветчина в форме,279 кКал,"22,6 г","20,9 г",0 г
Ветчина особая,126 кКал,"17,6 г","6,2 г",0 г
"Ветчина, медовая, копчено-вареная",122 кКал,"17,93 г","2,37 г","7,27 г"
"Ветчина, нарезанная ломтиками, сверх постная",107 кКал,"16,85 г","4,04 г","0,7 г"
"Ветчина, рубленая",263 кКал,"16,28 г","20,68 г","1,84 г"
"Ветчина, рубленная, консервированная",239 кКал,"16,06 г","18,83 г","0,26 г"
"Ветчина, рубленная, неконсервированная",221 кКал,"16,5 г","16,7 г",0 г
"Говядина, солонина, буханка, заливное",153 кКал,"22,9 г","6,1 г",0 г
"Говядина, солонина, колбаска, приготовленная, копченая",312 кКал,"14,11 г","26,91 г","2,42 г"
"Говядина, солонина, консервированная",250 кКал,"27,1 г","14,93 г",0 г
"Говядина, солонина, копченая, нарубленная",133 кКал,"20,19 г","4,42 г","1,86 г"
"Говядина, солонина, мясо для ланча, заливное",111 кКал,19 г,"3,3 г",0 г
"Говядина, солонина, Пастрома",147 кКал,"21,8 г","5,82 г","0,36 г"
"Говядина, солонина, сушеная",153 кКал,"31,1 г","1,94 г","2,76 г"
"Говядина, сосиски, заранее приготовленные",405 кКал,"15,5 г","37,57 г","0,03 г"
"Говядина, сосиски, свежие, приготовленные",332 кКал,"18,21 г","27,98 г","0,35 г"
Грудинка копчено-запеченная (свинина),514 кКал,10 г,"52,7 г",0 г
Грудинка сырокопченая (свинина),605 кКал,"8,9 г","63,3 г",0 г
"гусь, Паштет, из печени, копченый, консерв.",462 кКал,"11,4 г","43,84 г","4,67 г"
"Зельц, из свинины",157 кКал,"13,83 г","10,9 г",0 г
Колбаса вареная говяжья,165 кКал,15 г,"11,7 г","0,2 г"
Колбаса вареная для завтрака,187 кКал,13 г,"13,9 г","2,4 г"
Колбаса вареная русская,302 кКал,"11,5 г","27,9 г","1,7 г"
"Колбаса вареная, диабетическая",254 кКал,"12,1 г","22,8 г",0 г
"Колбаса вареная, диетическая",170 кКал,"12,1 г","13,5 г",0 г
"Колбаса вареная, докторская",257 кКал,"12,8 г","22,2 г","1,5 г"
"Колбаса вареная, зеленоградская (с мясом утки)",187 кКал,"17,2 г","12,1 г","2,2 г"
"Колбаса вареная, любительская",301 кКал,"12,2 г",28 г,"0,1 г"
"Колбаса вареная, любительская свиная",312 кКал,"12,5 г","29,1 г",0 г
"Колбаса вареная, молочная",252 кКал,"11,7 г","22,8 г","0,2 г"
"Колбаса вареная, отдельная",240 кКал,11 г,21 г,"1,7 г"
"Колбаса вареная, подмосковная (с куриным мясом)",180 кКал,"17,2 г","11,6 г","1,7 г"
"Колбаса вареная, свиная",277 кКал,"10,8 г","25,8 г","0,5 г"
"Колбаса вареная, столовая",234 кКал,"11,1 г","20,2 г","1,8 г"
"Колбаса вареная, телячья",308 кКал,"13,2 г","28,3 г","0,3 г"
"Колбаса вареная, чайная",216 кКал,"11,7 г","18,4 г","1,7 г"
Колбаса варено-копченая московская,406 кКал,"19,1 г","36,6 г","0,2 г"
"Колбаса варено-копченая, любительская",420 кКал,"17,2 г",39 г,"0,2 г"
Колбаса полукопченая одесская,402 кКал,"14,8 г","38,1 г","0,3 г"
"Колбаса полукопченая, армавирская",423 кКал,"15,1 г","40,1 г","0,3 г"
"Колбаса полукопченая, краковская",466 кКал,"16,2 г","44,6 г",0 г
"Колбаса полукопченая, минская",287 кКал,"17,4 г",23 г,"2,7 г"
"Колбаса полукопченая, полтавская",417 кКал,"16,4 г",39 г,0 г
"Колбаса полукопченая, таллинская",373 кКал,"17,1 г","33,8 г","0,2 г"
"Колбаса полукопченая, украинская",376 кКал,"16,5 г","34,4 г",0 г
Колбаса сырокопченая дорожная,498 кКал,17 г,"47,7 г","0,4 г"
Колбаса сырокопченая зернистая,606 кКал,"9,9 г","62,8 г","0,3 г"
Колбаса сырокопченая олимпийская,436 кКал,"21,1 г","39,1 г","0,4 г"
Колбаса сырокопченая свиная,566 кКал,13 г,57 г,"0,2 г"
"Колбаса сырокопченая, брауншвейгская",491 кКал,"27,7 г","42,2 г","0,2 г"
