Продукт,Калорийность,Белки,Жиры,Углеводы
Абрикосовое пюре,60 кКал,"1,2 г",0 г,"13,9 г"
Абрикосовый джем,276 кКал,"0,5 г",0 г,"71,6 г"
Абрикосовый компот. Консервы,89 кКал,"0,2 г","0,08 г","21,7 г"
Абрикосы,44 кКал,"0,9 г","0,1 г",9 г
Абрикосы,48 кКал,"1,4 г","0,39 г","9,12 г"
"Абрикосы без кожуры, консервированные в водной заливке",22 кКал,"0,69 г","0,03 г","4,38 г"
"Абрикосы без кожуры, консервированные в насыщенном сахарном сиропе",83 кКал,"0,51 г","0,09 г","19,85 г"
"Абрикосы без кожуры, консервированные в экстра-насыщенном сахарном сиропе",96 кКал,"0,55 г","0,04 г","23,25 г"
Абрикосы замороженные подслащенные,98 кКал,"0,7 г","0,1 г","22,9 г"
Абрикосы сушеные,241 кКал,"3,39 г","0,51 г","55,34 г"
"Абрикосы сушеные (дегидрированные), сульфитированные, неприготовленные",320 кКал,"4,9 г","0,62 г","82,89 г"
"Абрикосы сушеные (дегидрированные), сульфитированные, тушеные",126 кКал,"1,93 г","0,24 г","32,62 г"
"Абрикосы сушеные (курага), тушеные без сахара",85 кКал,"1,2 г","0,18 г","19,55 г"
"Абрикосы сушеные (курага), тушеные с сахаром",113 кКал,"1,17 г","0,15 г","25,16 г"
Абрикосы сушеные с косточкой (урюк),242 кКал,5 г,"0,4 г",53 г
"Абрикосы, консервированные (половинки или кусочки)",85 кКал,"0,5 г",0 г,21 г
"Абрикосы, консервированные в водной заливке",27 кКал,"0,71 г","0,16 г","4,79 г"
"Абрикосы, консервированные в легком сахарном сиропе",63 кКал,"0,53 г","0,05 г","14,89 г"
"Абрикосы, консервированные в насыщенном сахарном сиропе",83 кКал,"0,64 г","0,11 г","18,61 г"
"Абрикосы, консервированные в насыщенном сахарном сиропе",83 кКал,"0,53 г","0,08 г","19,87 г"
"Абрикосы, консервированные в экстра-легком сахарном сиропе",49 кКал,"0,6 г","0,1 г","10,9 г"
Айва,48 кКал,"0,6 г","0,5 г","9,6 г"
Айва,57 кКал,"0,4 г","0,1 г","13,4 г"
Айвовый компот. Консервы,82 кКал,"0,4 г","0,3 г","19,7 г"
Актинидия  (дальневосточное киви),56 кКал,0 г,0 г,13 г
Ананас,52 кКал,"0,3 г","0,1 г","11,8 г"
"Ананас замороженный, подслащенный",86 кКал,"0,4 г","0,1 г","21,1 г"
"Ананас, все сорта",50 кКал,"0,54 г","0,12 г","11,72 г"
"Ананас, консервированный в водной заливке",32 кКал,"0,43 г","0,09 г","7,5 г"
"Ананас, консервированный в легком сахарном сиропе",52 кКал,"0,36 г","0,12 г","12,65 г"
"Ананас, консервированный в насыщенном сахарном сиропе",78 кКал,"0,35 г","0,11 г","19,4 г"
"Ананас, консервированный в собственном соку",60 кКал,"0,51 г","0,11 г","14,26 г"
"Ананас, консервированный в экстра-насыщенном сахарном сиропе",83 кКал,"0,34 г","0,11 г","20,7 г"
"Ананас, несладкие сорта",45 кКал,"0,55 г","0,13 г","11,82 г"
"Ананас, сладкие сорта",51 кКал,"0,53 г","0,11 г","12,1 г"
"Аннона сетчатая (кремовое яблоко, ""бычье сердце"")",101 кКал,"1,7 г","0,6 г","22,8 г"
Апельсин,43 кКал,"0,9 г","0,2 г","8,1 г"
"Апельсин валенсийский, Калифорния",49 кКал,"1,04 г","0,3 г","9,39 г"
Апельсин пупочный (сорт навел),49 кКал,"0,91 г","0,15 г","10,34 г"
Апельсин с цедрой,63 кКал,"1,3 г","0,3 г",11 г
Апельсин Флорида,46 кКал,"0,7 г","0,21 г","9,14 г"
"Апельсин, все сорта",47 кКал,"0,94 г","0,12 г","9,35 г"
"Апельсиновая цедра, сырая",97 кКал,"1,5 г","0,2 г","14,4 г"
Апельсиновый джем,268 кКал,"0,4 г","0,1 г","66,3 г"
Арбуз,27 кКал,"0,7 г","0,1 г","5,8 г"
"Арбуз, сырой",30 кКал,"0,61 г","0,15 г","7,15 г"
Ацерола (барбадосская вишня),32 кКал,"0,4 г","0,3 г","6,59 г"
Банан,96 кКал,"1,5 г","0,5 г",21 г
Бананы,89 кКал,"1,09 г","0,33 г","20,24 г"
Бананы высушенные (дегидрированные) или банановый порошок,346 кКал,"3,89 г","1,81 г","78,38 г"
Барбарис,84 кКал,"4,5 г","4,7 г","3,5 г"
"Бойзенова ягода, замороженная, неподслащенная",50 кКал,"1,1 г","0,26 г","6,89 г"
"Бойзенова ягода, консервированная в насыщенном сахарном сиропе",88 кКал,"0,99 г","0,12 г","19,71 г"
Боярышник кроваво-красный,62 кКал,"1,12 г",0 г,"14,2 г"
Брусника,46 кКал,"0,7 г","0,5 г","8,2 г"
Бузина,73 кКал,"0,66 г","0,5 г","11,4 г"
"Бузина, сырая",73 кКал,"0,66 г","0,5 г","11,4 г"
Вакциниум сетчатый (охело ),28 кКал,"0,38 г","0,22 г","6,84 г"
Варенье из айвы,273 кКал,"0,4 г","0,2 г","70,6 г"
Варенье из груши,273 кКал,"0,3 г","0,2 г","70,8 г"
Варенье из кизила,274 кКал,"0,4 г",0 г,"72,3 г"
Варенье из клубники,285 кКал,"0,3 г","0,1 г",74 г
Варенье из малины,273 кКал,"0,6 г","0,2 г","70,4 г"
Варенье из мандаринов,294 кКал,"0,7 г","0,2 г","75,9 г"
Варенье из персиков,258 кКал,"0,5 г",0 г,"66,8 г"
Варенье из рябины черноплодной,387 кКал,"0,4 г",0 г,"74,8 г"
Варенье из сливы,288 кКал,"0,4 г","0,3 г","74,2 г"
Варенье из яблок,265 кКал,"0,4 г","0,3 г","68,2 г"
Виноград,72 кКал,"0,6 г","0,6 г","15,4 г"
Виноград американский (с грубой кожурой),67 кКал,"0,63 г","0,35 г","16,25 г"
"Виноград киш-миш, консервированный в водной заливке",40 кКал,"0,5 г","0,11 г","9,7 г"
