Продукт,Калорийность,Белки,Жиры,Углеводы
"CONTINENTAL MILLS, KRUSTEAZ Миндальная смесь с маком, с исскуственными ароматизаторами, сухая",418 кКал,"5,6 г","10,3 г","73,9 г"
"Английские маффины, из цельной пшеницы",203 кКал,"8,8 г","2,1 г","33,7 г"
"Английские маффины, обычные, необогащенные, без пропионата кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,"7,7 г","1,8 г","43,3 г"
"Английские маффины, обычные, необогащенные, с пропионатом кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,"7,7 г","1,8 г","43,3 г"
"Английские маффины, обычные, обогащенные, без пропионата кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,"7,7 г","1,8 г","43,3 г"
"Английские маффины, обычные, приготовленные в тостере, обогащенные, с пропионатом кальция (E282 - вызывает рак), (включая, на хлебной закваске)",270 кКал,"10,32 г","2,02 г","49,85 г"
"Английские маффины, пшеничные",223 кКал,"8,7 г",2 г,"40,2 г"
Баранки простые,311 кКал,"10,4 г","1,3 г","64,2 г"
Баранки сдобные,348 кКал,"8,3 г",8 г,"60,4 г"
Батон нарезной из муки 1 сорта (хлеб),259 кКал,"7,7 г",3 г,"50,1 г"
Батон нарезной из муки в/с (хлеб),262 кКал,"7,5 г","2,9 г","51,4 г"
Батон простой из муки 1 сорта (хлеб),238 кКал,8 г,1 г,"49,1 г"
Белковый хлеб (с клейковиной),245 кКал,"12,1 г","2,2 г","40,8 г"
Белый хлеб низкокалорийный,207 кКал,"8,7 г","2,5 г","34,6 г"
"Бисквитный пирог, готовый",258 кКал,"5,9 г","0,8 г","56,3 г"
"Бисквитный пирог, приготовленный из сухой смеси",257 кКал,"6,1 г","0,3 г","58,5 г"
"Бисквиты из смеси злаков, замороженное тесто",263 кКал,"6,1 г","5,6 г","47,4 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой),  приготовленный из сухой смеси",335 кКал,"7,3 г","12,1 г","46,6 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), готовые",338 кКал,"6,2 г","11,03 г","52,57 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные",307 кКал,"6,66 г","10,58 г","45,62 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные, испеченные",324 кКал,"6,79 г","11,22 г","46,25 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные",270 кКал,"6,7 г","7,83 г","41,7 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные, испеченный",319 кКал,"7,8 г","9,1 г","49,3 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), приготовленные по рецепту",353 кКал,7 г,"16,3 г","43,1 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), сухая смесь",428 кКал,8 г,"15,4 г","61,3 г"
"Блины, обычные, замороженные, готовые к выпечке (включая блины из пахты)",233 кКал,"5,23 г","6,83 г","36,75 г"
"Блины, обычные, замороженные, готовые к выпечке, разогретые в микроволновке (включая блины из пахты)",239 кКал,"5,88 г","4,73 г","40,83 г"
"Блины, по 2-174",189 кКал,"5,1 г","3,1 г","32,6 г"
"Бостонский пирог, готовый",252 кКал,"2,4 г","8,5 г","41,5 г"
