Продукт,Калорийность,Белки,Жиры,Углеводы
Абрикосовый газированный коктейль,"36,4 кКал",1 г,"0,8 г","6,6 г"
Абрикосовый гоголь-моголь,"85,5 кКал","3,1 г","2,8 г","12,9 г"
Абрикосовый десертный напиток,"86,1 кКал","0,3 г","0,04 г","22,5 г"
Абрикосовый коктейль с поплавком,"70,8 кКал","2,7 г","2,7 г","9,4 г"
Апельсиновое молоко,"78,2648 кКал","3,0347 г","2,5187 г","10,6881 г"
Апельсиновый компот,"57,2 кКал","0,3 г","0,05 г","14,9 г"
Бурятский чай,94 кКал,"0,7 г","9,3 г","2,1 г"
Горячий абрикосовый напиток,"53,7 кКал","2,3 г","2,6 г","5,6 г"
Какао с молоком,"102,8 кКал","2,9 г","2,9 г","17,2 г"
Какао с молоком сгущенным,"86,6 кКал","2,2 г","2,4 г",15 г
Квас из ревеня,34 кКал,"0,2 г","0,04 г","8,8 г"
Квас клюквенный,"40,4 кКал","0,1 г","0,03 г","10,6 г"
Квас по-тобольски,"35,8 кКал","0,6 г","0,1 г","8,6 г"
Квас хлебный из экстракта,"4,3 кКал","0,04 г","0,008 г","1,1 г"
Квас яблочный,"36,7 кКал","0,2 г","0,09 г","9,4 г"
Кефир с ревенем,55 кКал,"2,1 г","2,3 г","6,8 г"
"Кефир, ацидофилин, простокваша, ряженка","55,9 кКал","2,8 г","3,2 г","4,1 г"
Кисель апельсиновый,"97,8 кКал","2,7 г","2,1 г",18 г
Кисель брусничный,"75,2 кКал","0,07 г","0,05 г","19,9 г"
Кисель из абрикосов,"53,7 кКал","0,1 г","0,01 г","14,2 г"
Кисель из земляники,"51,1 кКал","0,08 г","0,04 г","13,5 г"
Кисель из клюквы (густой),"55,4 кКал","0,05 г","0,02 г","14,7 г"
Кисель из концентрата на плодовых или ягодных экстрактах,"26,3 кКал",0 г,0 г,7 г
Кисель из овсяных хлопьев,"130,6 кКал",4 г,"7,5 г","12,6 г"
Кисель из плодов и ягод свежих,"55,2 кКал","0,06 г","0,02 г","14,6 г"
Кисель из яблок (густой),"62,1 кКал","0,09 г","0,08 г","16,3 г"
Кисель молочный,"33,5 кКал","0,9 г",1 г,"5,5 г"
Кисель молочный (густой),"60,5 кКал",3 г,"3,3 г","4,9 г"
Кисель морковный,"49,3 кКал","0,3 г","0,02 г","12,8 г"
"Коктейль ""Юпитер""","82,5 кКал","2,5 г","4,7 г","8,1 г"
Коктейль молочный,"96,6 кКал","2,9 г","4,3 г","12,5 г"
Коктейль с креветками,"57,5 кКал","3,1 г","4,5 г","1,2 г"
Компот из абрикосов,"48,4 кКал","0,2 г","0,02 г","12,7 г"
Компот из айвы,"72,4 кКал","0,1 г","0,1 г","18,9 г"
Компот из барбариса,"111,7 кКал",0 г,0 г,"29,8 г"
Компот из вишни,"53,5 кКал","0,3 г","0,08 г","13,7 г"
Компот из моркови,"34,1 кКал","0,3 г","0,02 г","8,8 г"
Компот из плодов консервированных 2,"41,3 кКал","0,3 г","0,07 г","10,5 г"
Компот из свежих плодов,"59,1 кКал","0,1 г","0,1 г","15,3 г"
Компот из свеклы,"49,2 кКал",1 г,"0,07 г","11,8 г"
Компот из смеси сухофруктов,"55,6 кКал","0,3 г",0 г,"14,5 г"
Компот из тыквы и ревеня,"36,5 кКал","0,3 г","0,03 г","9,4 г"
Компот из черники,"48,5 кКал","0,4 г","0,2 г",12 г
Компот из яблок и слив или из яблок и алычи,"66,6 кКал","0,2 г","0,1 г","17,3 г"
Костяничный кисель,"37,5 кКал","0,003 г",0 г,10 г
Кофе на молоке,"64,1 кКал","1,4 г","1,5 г","12,1 г"
Кофе на молоке по-варшавски,"72,5 кКал",2 г,3 г,"10,2 г"
Кофе на молоке сгущенном,"254,3 кКал","2,3 г","2,4 г","59,5 г"
Кофе по-восточному,"61,7 кКал","1,1 г","1,2 г","12,5 г"
"Кофе черный 1-ый вариант (для кофеварки типа ""Экспресс""","202,6 кКал",14 г,"14,5 г","4,1 г"
Кофе черный 2-ой вариант,"10,7 кКал","0,7 г","0,8 г","0,2 г"
Кофе черный с мороженым (глясе),"111,7 кКал","1,9 г","4,1 г","17,9 г"
Кофейный холодный напиток,"131,9 кКал","1,9 г","10,9 г","7,1 г"
Креольский напиток,0 кКал,0 г,0 г,0 г
Крыжовник с кефиром,"79,5 кКал",3 г,"4,7 г","6,6 г"
Лимонный кисель,"60,1 кКал","0,06 г","0,006 г",16 г
"Медовуха ""Зауральская""","64,5 кКал",1 г,"0,2 г","15,6 г"
Молоко кипяченое,"60,5 кКал",3 г,"3,3 г","4,9 г"
Молочно-абрикосовый коктейль,62 кКал,"2,7 г","2,8 г",7 г
Молочный кисель из моркови,"60,8 кКал",2 г,"1,9 г","9,5 г"
Молочный напиток с абрикосами,125 кКал,"1,8 г","6,3 г","16,2 г"
Морс брусничный,"41,4 кКал","0,06 г","0,04 г","10,9 г"
"Напиток ""Лесная быль""","67,6 кКал","1,6 г","1,4 г","12,8 г"
"Напиток ""Петровский""","14,9 кКал","0,2 г","0,02 г","3,7 г"
"Напиток ""Фанта""","27,6 кКал","0,1 г","0,01 г","7,2 г"
Напиток апельсиновый,43 кКал,"0,03 г","0,006 г","11,4 г"
Напиток апельсиновый или лимонный,"41,7 кКал","0,08 г","0,02 г",11 г
