Продукт,Калорийность,Белки,Жиры,Углеводы
Винегрет,"130,1 кКал","1,7 г","10,3 г","8,2 г"
Винегрет из овощей,"176,9 кКал","1,9 г","13,9 г","11,7 г"
Винегрет из овощей и фруктов,"137,4 кКал","1,9 г","9,5 г","11,9 г"
"Винегрет из овощей, яблок и зелени","104,2 кКал","1,6 г","7,3 г","8,6 г"
Винегрет из перца с картофелем,"97,4 кКал",3 г,"6,2 г","7,9 г"
Винегрет из фруктов и овощей,"128,5 кКал","2,1 г","8,2 г","12,4 г"
Винегрет овощной,"76,6 кКал","1,7 г","4,9 г","6,8 г"
Винегрет овощной,"158,7 кКал","5,7 г","8,4 г","16,2 г"
Винегрет по-румынски,"208,1 кКал","6,2 г","16,8 г","8,7 г"
Винегрет с консервированным мясом,215 кКал,"10,3 г","15,4 г","9,5 г"
Винегрет с селедкой,"119,1 кКал","4,5 г","6,9 г","10,5 г"
Винегрет с сельдью,"179,2 кКал","9,1 г",13 г,"6,8 г"
Диетический салат из свеклы и яблок,"94,2 кКал","0,8 г",3 г,17 г
"Жареный салат ""Универсал""","26,6 кКал",1 г,"0,2 г","5,5 г"
Морковный салат,"88,2 кКал","0,8 г","7,5 г","4,7 г"
Морковь с помидорами и яблоками,"44,4 кКал","0,8 г","1,6 г",7 г
Огуречный салат,"131,5 кКал","3,7 г",12 г,"2,2 г"
Окрошка,"75,7 кКал","3,7 г","5,1 г",4 г
Окрошка,"57,2 кКал","2,4 г","3,2 г",5 г
Окрошка мясная,"89,1 кКал",7 г,"4,8 г","4,6 г"
Окрошка овощная,"48,1 кКал","1,9 г","1,9 г","6,4 г"
Окрошка сборная мясная,"95,1 кКал","5,1 г","6,4 г","4,6 г"
Оригинальный салат,0 кКал,0 г,0 г,0 г
Пестрый летний салат,0 кКал,0 г,0 г,0 г
Пестрый салат,"73,9 кКал","3,7 г","1,9 г","11,2 г"
Печеночный салат,"104,7 кКал","8,2 г","7,5 г","1,1 г"
Пикантный салат,0 кКал,0 г,0 г,0 г
Помидоры с огурцами и перцем,"30,7 кКал",1 г,"0,9 г",5 г
Помидоры с огурцами и яблоками,"65,7 кКал","0,8 г","4,9 г","4,8 г"
Помидоры с чесночной заправкой,"70,9 кКал","3,9 г","1,9 г","10,1 г"
"Помидоры, фаршированные  салатом из яблок и огурцов",0 кКал,0 г,0 г,0 г
"Помидоры, фаршированные салатом из яблок и огурцов.","53,5 кКал","0,7 г","3,2 г","5,8 г"
Редиска со сметаной,"103,5 кКал","2,7 г",9 г,3 г
Редька в сметане,"111,8 кКал",2 г,"9,2 г","5,5 г"
Рыбный салат,"145,6 кКал","5,1 г",12 г,"4,5 г"
Рыбный салат,207 кКал,"9,3 г","18,3 г","1,4 г"
"Салат ""Ак-идель"" (рыбный с рисом по-башкирски)","368,8 кКал","18,4 г","29,6 г","7,5 г"
"Салат ""Архиерейский""","221,5 кКал","5,9 г","20,8 г",3 г
"Салат ""Весна""","90,3 кКал",3 г,"7,4 г","3,1 г"
"Салат ""Гнездо глухаря""",0 кКал,0 г,0 г,0 г
"Салат ""Гранат""","225,9 кКал","4,7 г",18 г,12 г
"Салат ""Гранатовый браслет""","166,6 кКал","3,9 г","14,2 г","6,1 г"
"Салат ""Грибки""","77,6 кКал","6,5 г","4,7 г","2,6 г"
"Салат ""Золушка""",0 кКал,0 г,0 г,0 г
"Салат ""Киевский""","160,9 кКал",5 г,12 г,"8,8 г"
"Салат ""Копенгагенский""","75,7 кКал",3 г,"4,8 г","5,4 г"
"Салат ""Кремлевский""","252,3 кКал","5,8 г","22,1 г","7,9 г"
"Салат ""Летний""","102,5 кКал","3,6 г","7,5 г","5,4 г"
"Салат ""Матрешки""","125,9 кКал","11,4 г","8,4 г","1,2 г"
"Салат ""Мимоза""","296,6 кКал","6,3 г","28,3 г","4,4 г"
"Салат ""Молдова""","283,5 кКал","5,5 г","20,4 г","20,7 г"
"Салат ""Московский""","280,3 кКал","4,7 г","24,7 г","10,5 г"
"Салат ""Невеста""","218,7 кКал","4,3 г","18,5 г","9,4 г"
"Салат ""Нежность""",211 кКал,"5,1 г","8,7 г",30 г
"Салат ""Обжарка""","132,6 кКал","3,8 г","11,9 г","2,7 г"
"Салат ""Осенний"" из свежих овощей с рыбой",123 кКал,"8,3 г","7,7 г","5,5 г"
"Салат ""Острый"" из картофеля с ветчиной и чесноком",175 кКал,"5,9 г","10,3 г","15,5 г"
"Салат ""Петровский"" грибной с квашеной капустой и огурцами","110,5 кКал","1,5 г","10,3 г","3,1 г"
